,title,description,source,url,sentiment_score
15,TSMC rumored to receive High NA EUV machines from ASML this year,TSMC is set to receive its first shipment of ASML's High NA EUV machine later this year.,Tom's Hardware UK,https://www.tomshardware.com/tech-industry/semiconductors/tsmc-rumored-to-receive-high-na-euv-machines-from-asml-this-year,0.1366666666666667
16,Intel Announces Retirement of CEO Pat Gelsinger,"David Zinsner and Michelle Johnston Holthaus named interim Co-CEOs. Holthaus also appointed to the newly created position of CEO of Intel Products. Frank Yeary named interim executive chair. SANTA CLARA, Calif.--(BUSINESS WIRE)-- Intel Corporation (NASDAQ: IN…",Intc.com,https://www.intc.com/news-events/press-releases/detail/1719/intel-announces-retirement-of-ceo-pat-gelsinger,0.13636363636363635
17,US Government to Trim Intel Chips Funds: Will it Hurt INTC Stock?,"With the government deciding to reduce the funding, it appears Intel has fallen down the pecking order.",Yahoo Entertainment,https://finance.yahoo.com/news/us-government-trim-intel-chips-154000845.html,-0.15555555555555556
18,MIT researchers say nanoscale 3D transistors made from ultrathin semiconductor materials promise more efficient electronics; quantum mechanics offers a path beyond silicon limits,MIT researchers say nanoscale 3D transistors promise more efficient electronics.,TechRadar,https://www.techradar.com/pro/mit-researchers-say-nanoscale-3d-transistors-made-from-ultrathin-semiconductor-materials-promise-more-efficient-electronics-quantum-mechanics-offers-a-path-beyond-silicon-limits,0.5
19,(PR) MiTAC Unveils New AI/HPC-Optimized Servers With Advanced CPU and GPU Integration,"MiTAC Computing Technology Corporation, an industry-leading server platform design manufacturer and a subsidiary of MiTAC Holdings Corporation (TSE:3706), is unveiling its new server lineup at SC24, booth #2543, in Atlanta, Georgia. MiTAC Computing's servers …",Techpowerup.com,https://www.techpowerup.com/329006/mitac-unveils-new-ai-hpc-optimized-servers-with-advanced-cpu-and-gpu-integration,0.13636363636363635
20,(PR) NEC to Build Japan's Newest Supercomputer Based on Intel Xeon 6900P and AMD Instinct MI300A,"NEC Corporation (NEC; TSE: 6701) has received an order for a next-generation supercomputer system from Japan's National Institutes for Quantum Science and Technology (QST), under the National Research and Development Agency, and the National Institute for Fus…",Techpowerup.com,https://www.techpowerup.com/328766/nec-to-build-japans-newest-supercomputer-based-on-intel-xeon-6900p-and-amd-instinct-mi300a,0.0
21,"(PR) Intel, Biden-Harris Administration Finalize $7.86 Billion Funding Award Under US CHIPS Act",Intel Corporation and the Biden-Harris Administration announced today that the U.S. Department of Commerce and Intel have reached agreement on terms to award the company up to $7.86 billion in direct funding for its commercial semiconductor manufacturing proj…,Techpowerup.com,https://www.techpowerup.com/329217/intel-biden-harris-administration-finalize-usd-7-86-billion-funding-award-under-us-chips-act,0.05
22,"(PR) Intel CEO Pat Gelsinger Retires, Company Appoints two Interim co-CEOs","Intel Corporation (NASDAQ: INTC) today announced that CEO Pat Gelsinger retired from the company after a distinguished 40-plus-year career and has stepped down from the board of directors, effective Dec. 1, 2024. Intel has named two senior leaders, David Zins…",Techpowerup.com,https://www.techpowerup.com/329400/intel-ceo-pat-gelsinger-retires-company-appoints-two-interim-co-ceos,0.2222222222222222
23,80286 ATX mainboard based on the IBM 5170 AT PC,This project features a design for a 80286 ATX mainboard based on the IBM 5170 AT PC - rodneyknaap/atx-286at-v1-mainboard,Github.com,https://github.com/rodneyknaap/atx-286at-v1-mainboard,0.0
24,NEC to Build Japan's Newest Supercomputer Based on Intel Xeon 6900P and AMD Instinct,"NEC Corporation (NEC; TSE: 6701) has received an order for a next-generation supercomputer system from Japan's National Institutes for Quantum Science and Technology (QST), under the National Research and Development Agency, and the National Institute for Fus…",Madshrimps.be,http://www.madshrimps.be/news/item/234323,0.0
25,Insider Stock Buying Reaches US$3.25m On Intel,"Over the last year, a good number of insiders have significantly increased their holdings in Intel Corporation...",Yahoo Entertainment,https://finance.yahoo.com/news/insider-stock-buying-reaches-us-110016827.html,0.35833333333333334
26,Intel CEO Pat Gelsinger Has Unexpectedly Retired,"Just like Jim Montgomery was removed from coaching the Bruins for reasons likely far beyond his control, Intel has just announced Pat Gelsinger's retirement.  Pat Gelsinger's career at Intel started…",PC Perspective,https://pcper.com/2024/12/intel-ceo-pat-gelsinger-has-unexpectedly-retired/,0.05
27,NVIDIA Surpasses Apple as the World's Most Valuable Company,"Valued at $3.43 trillion against Apple's $3.38 trillion at the time of this writing, NVIDIA Corporation is now the most valuable company in the world. NVIDIA has been the hottest tech stock since 2021, as it created the most valuable IP of this decade—AI GPUs…",Techpowerup.com,https://www.techpowerup.com/328502/nvidia-surpasses-apple-as-the-worlds-most-valuable-company,0.5
28,Qualcomm's interest in Intel acquisition faces challenges as complexities grow,Discover why Qualcomm is reconsidering its interest in acquiring Intel. Regulatory hurdles and logistical challenges have stalled discussions.,Android Headlines,https://www.androidheadlines.com/2024/11/qualcomms-interest-in-intel-acquisition-faces-challenges-as-complexities-grow.html,0.0
29,MIT's 3D nanoscale transistors use quantum tunneling design to bypass physical limits,"The problem they're tackling is what's known as ""Boltzmann tyranny."" It refers to the fundamental limit to how little voltage is required to switch a silicon transistor on and off at room temperature, where if you crank the voltage down too far, the transisto…",TechSpot,https://www.techspot.com/news/105454-mit-3d-nanoscale-transistors-use-quantum-tunneling-design.html,-0.08101851851851852
30,"Intel Secures Around $8 Billion In New CHIPS Act Grants, Potentially Leading To a Financial Revival","Intel and the Biden government have reached a ""pivotal"" agreement on the Chips Act, as Team Blue now secures up to $7.86 billion in direct funding. Intel's Desperate Attempts To Get Its ""CHIPS Act"" Funds Released Has Now Paid Off, Apparently Showing The Confi…",Wccftech,https://wccftech.com/intel-secures-around-8-billion-in-new-chips-act-grants/,0.01
31,Broadcom Advances Security and Performance for VMware vDefend and Avi Load Balancer at VMware Explore 2024 Barcelona,"At VMware Explore 2024 Barcelona, Broadcom is unveiling new advancements to VMware vDefend and VMware Avi Load Balancer to strengthen security for east-west traffic and optimize performance with Intel in datacenter, private cloud and Kubernetes environments",Vmblog.com,https://vmblog.com:443/archive/2024/11/05/broadcom-advances-security-and-performance-for-vmware-vdefend-and-avi-load-balancer-at-vmware-explore-2024-barcelona.aspx,0.06818181818181818
32,Intel wins $7.9 billion award under CHIPS Act,"Plus: Bitcoin record, Starlink approval, Google tweaks in the latest edition of Fortune's flagship tech newsletter.",Fortune,https://fortune.com/2024/11/27/intel-wins-7-9-billion-award-under-chips-act/,0.5
33,Chipmakers' suppliers said to be reexamining Mexico plans,The suppliers for Nvidia Corporation and Intel Corporation are examining their plans to manufacture the parts for semiconductors in Mexico and seeking a way to comply with United States President-elec...,Biztoc.com,https://biztoc.com/x/74b4d2f71d473b55,0.0
34,"Weekly news roundup: TSMC's Arizona milestone looms as global chip industry navigates political, technical crossroads",Semiconductor Week in Review (Nov 3 - 9): The semiconductor industry faces a transformative moment as TSMC readies its Arizona fab's politically-charged December opening and Intel's covert Taiwan visit reveals its deepening dependence on TSMC's advanced nodes.,Digitimes,https://www.digitimes.com/news/a20241111VL201/tsmc-intel-manufacturing-semiconductor-industry.html,0.4
35,Nvidia is replacing Intel on the Dow Jones Industrial Average: Here’s why and what that means,"For the second time in 2024, the Dow Jones Industrial Average (INDEXDJX: .DJI) is getting a shakeup. Back in February, Amazon replaced Walgreens on the stock market index. Now two more companies are getting kicked off the Dow so that two others can join. And …",Fast Company,https://www.fastcompany.com/91222054/nvidia-stock-replaces-intel-dow-jones-date-reason-explained,0.0875
36,Intel Announces Retirement of CEO Pat Gelsinger,"Intel Announces Retirement of CEO Pat Gelsinger
David Zinsner and Michelle Johnston Holthaus named interim Co-CEOs. Holthaus also appointed to the newly created position of CEO of Intel Products. Frank Yeary named interim executive chair.
SANTA CLARA, Calif.-…",Biztoc.com,https://biztoc.com/x/0f8e0e383a9ec1dd,0.13636363636363635
37,US awards Intel $7.86B to boost domestic chip production,"Intel Corporation announced on Tuesday that it finally secured up to $7.86 billion from the US government under the CHIPS and Science Act to expand semiconductor production in Arizona, New Mexico, Ohi...",Biztoc.com,https://biztoc.com/x/d81054a15dcbf931,0.06818181818181818
38,Intel To Receive Nearly $8 Billion In Federal Funding Under CHIPS Act for US Expansion,"Intel Corporation (NASDAQ:INTC) and the Biden-Harris Administration announced that the U.S. Department of Commerce will award Intel up to $7.86 billion in funding under the CHIPS and Science Act.
The funding will support semiconductor manufacturing and advanc…",Biztoc.com,https://biztoc.com/x/56707fe6fc090ded,0.0
39,Intel to receive smaller CHIPS Act grant from Washington- NYT,"Investing.com-- Intel is set to receive a smaller grant under the CHIPs Act, The New York Times reported on Sunday, as the chipmaker grapples with delays in planned investments amid heightened competition.
Intel Corporation (NASDAQ:INTC) is expected to see it…",Biztoc.com,https://biztoc.com/x/1b381db19ba0fe5e,0.012121212121212116
40,Palantir surges 23% on earnings,"The shares of Intel Corporation soared on Tuesday as the firm posted satisfactory financial results in the previous session.
The company's revenue saw a significant increase of 30%, reaching $726...",Biztoc.com,https://biztoc.com/x/db1baf27235291f4,0.002083333333333326
41,Qualcomm takeover interest for Intel has cooled- Bloomberg,Qualcomm takeover interest for Intel has cooled- Bloomberg,Investing.com,https://www.investing.com/news/stock-market-news/qualcomm-takeover-interest-for-intel-has-cooled-bloomberg-3741215,0.0
42,大容量バッテリー搭載 メカナムローバーG40A-LB 発売,"[ヴイストン]
[画像1: https://prcdn.freetls.fastly.net/release_image/38478/76/38478-76-3ca8e0033e84063767cc6f2fc0797b9b-3200x2400.jpg?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&am...",Prtimes.jp,https://prtimes.jp/main/html/rd/p/000000076.000038478.html,0.0
43,大容量バッテリー搭載 メガローバーS40A-LB 発売,"[ヴイストン]
[画像1: https://prcdn.freetls.fastly.net/release_image/38478/78/38478-78-b24760a0212ffd11f75faf32a819656c-3200x2400.jpg?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&am...",Prtimes.jp,https://prtimes.jp/main/html/rd/p/000000078.000038478.html,0.0
44,Intel to receive smaller CHIPS Act grant from Washington- NYT,Intel to receive smaller CHIPS Act grant from Washington- NYT,Investing.com,https://www.investing.com/news/stock-market-news/intel-to-receive-smaller-chips-act-grant-from-washington-nyt-3738508,0.0
45,Intel appoints interim leaders as CEO retires,Intel appoints interim leaders as CEO retires,Investing.com,https://www.investing.com/news/company-news/intel-appoints-interim-leaders-as-ceo-retires-93CH-3748987,0.0
46,Learning from Japan: A New Leadership Model,"In this Nano Tool for Leaders, Wharton experts reveal how to enhance leadership by adopting successful practices from Japanese organizations.…Read More",Upenn.edu,https://knowledge.wharton.upenn.edu/article/learning-from-japan-a-new-leadership-model/,0.4166666666666667
47,The US Is Killing the Most Valuable Tech Firm in Europe,"Washington announces billion dollar research center for advanced chip making as trade restrictions demanded by US, and the EU energy war against Russia are hammering ASML.",Nakedcapitalism.com,https://www.nakedcapitalism.com/2024/11/the-us-is-killing-the-most-valuable-tech-firm-in-europe.html,0.15000000000000002
48,"[Latest] Global System on Module Market Size/Share Worth USD 6,235.5 Million by 2033 at a 9.2% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth, Growth Rate, Value)","[220+ Pages Latest Report] According to a market research study published by Custom Market Insights, the demand analysis of Global System on Module Market size & share revenue was valued at approximately USD 2,586.1 Million in 2023 and is expected to reach US…",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/27/2988339/0/en/Latest-Global-System-on-Module-Market-Size-Share-Worth-USD-6-235-5-Million-by-2033-at-a-9-2-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmentation.html,-6.938893903907228e-18
49,Gorilla Technology adds Intel executive to board,Gorilla Technology adds Intel executive to board,Investing.com,https://www.investing.com/news/company-news/gorilla-technology-adds-intel-executive-to-board-93CH-3748859,0.0
50,"Nvidia Joins Dow, Replacing Intel as AI Boom Highlights Tech’s Growing Market Influence","Nvidia joins the Dow, replacing Intel in a major AI-driven shift as its market cap soars, reflecting tech’s dominance in the stock market.",FX Empire,https://www.fxempire.com/news/article/nvidia-joins-dow-replacing-intel-as-ai-boom-highlights-techs-growing-market-influence-1473705,0.0625
51,The Forbes CIO Next List: 2024,"Discover Forbes' 2024 CIO Next list, featuring top Chief Information Officers and tech leaders driving transformation and digital strategy in today's tech landscape.",Forbes,https://www.forbes.com/sites/richardnieva/2024/11/19/the-forbes-cio-next-list-2024/,0.16666666666666666
52,"US-China Tech War Tensions Escalate As Biden Admin Moves To Restrict Chip, Semiconductor Exports",The Biden-Harris administration announced new restrictions prohibiting exports of certain types of chips and semiconductor equipment to China.,The Daily Caller,https://dailycaller.com/2024/12/02/us-china-tech-war-biden-admin-restrict-chip-exports/,0.17532467532467533
53,Financial Comparison: indie Semiconductor (NASDAQ:INDI) and Intel (NASDAQ:INTC),"indie Semiconductor (NASDAQ:INDI – Get Free Report) and Intel (NASDAQ:INTC – Get Free Report) are both computer and technology companies, but which is the better stock? We will compare the two companies based on the strength of their risk, profitability, earn…",ETF Daily News,https://www.etfdailynews.com/2024/11/28/financial-comparison-indie-semiconductor-nasdaqindi-and-intel-nasdaqintc/,0.325
54,Surface Laptop 3 Crashes On Keyboard Input After Screen Blank,"Running 24.04.1, laptop boots fine, I can login, everything works perfectly until the laptop is left idle and the screen eventually shuts off. At that point I can still ssh in and everything is fine, but the moment I press any key on the keyboard it crashes.
…",Askubuntu.com,https://askubuntu.com/questions/1532275/surface-laptop-3-crashes-on-keyboard-input-after-screen-blank,0.3666666666666667
55,Sound and Mic on my ubuntu 20.4 dell xps laptop,"Sound and Mic stopped (inbuilt) working on my dell xps laptop. Ouput show dummy option and input shows nothing. Please help i have been trying to solve it for days. Here are details:
System Information
Manufacturer: Dell Inc.
Product Name: XPS 9315
Version: N…",Askubuntu.com,https://askubuntu.com/questions/1533316/sound-and-mic-not-working-on-my-ubuntu-20-4-dell-xps-laptop,0.4
56,Intel Co. (NASDAQ:INTC) Shares Sold by Graypoint LLC,"Graypoint LLC lowered its stake in shares of Intel Co. (NASDAQ:INTC – Free Report) by 42.9% during the third quarter, according to its most recent disclosure with the Securities and Exchange Commission. The firm owned 17,655 shares of the chip maker’s stock a…",ETF Daily News,https://www.etfdailynews.com/2024/11/09/intel-co-nasdaqintc-shares-sold-by-graypoint-llc/,0.13999999999999999
57,Intel (NASDAQ:INTC) Shares Gap Up Following Analyst Upgrade,"Intel Co. (NASDAQ:INTC – Get Free Report)’s share price gapped up prior to trading on Friday after Mizuho raised their price target on the stock from $22.00 to $23.00. The stock had previously closed at $21.52, but opened at $23.00. Mizuho currently has a neu…",ETF Daily News,https://www.etfdailynews.com/2024/11/03/intel-nasdaqintc-shares-gap-up-following-analyst-upgrade/,0.07500000000000001
58,"Harbor Capital Advisors Inc. Acquires 3,272 Shares of Intel Co. (NASDAQ:INTC)","Harbor Capital Advisors Inc. raised its holdings in Intel Co. (NASDAQ:INTC – Free Report) by 6.3% in the third quarter, HoldingsChannel.com reports. The firm owned 55,271 shares of the chip maker’s stock after purchasing an additional 3,272 shares during the …",ETF Daily News,https://www.etfdailynews.com/2024/11/06/harbor-capital-advisors-inc-acquires-3272-shares-of-intel-co-nasdaqintc/,0.06666666666666667
59,Intel (NASDAQ:INTC) Stock Price Down 2.3% on Analyst Downgrade,Intel Co. (NASDAQ:INTC – Get Free Report)’s stock price was down 2.3% during trading on Monday after Northland Securities lowered their price target on the stock from $42.00 to $28.00. Northland Securities currently has an outperform rating on the stock. Inte…,ETF Daily News,https://www.etfdailynews.com/2024/11/06/intel-nasdaqintc-stock-price-down-2-3-on-analyst-downgrade/,0.08148148148148149
60,"Semiconductor Wafer Carriers for Thin Wafers: Global Market Analysis and Forecast Report 2025-2030, Featuring Profiles of Leading Players Applied Materials, Entegris, Lam Research, KLA, Intel & More","Emerging Opportunities in Asia-Pacific's Semiconductor Fabrication Expansion Highlight the Need for Smart, Automated Wafer Carriers to Boost Efficiency and Align With Industry 4.0 Standards Emerging Opportunities in Asia-Pacific's Semiconductor Fabrication Ex…",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/28/2988663/28124/en/Semiconductor-Wafer-Carriers-for-Thin-Wafers-Global-Market-Analysis-and-Forecast-Report-2025-2030-Featuring-Profiles-of-Leading-Players-Applied-Materials-Entegris-Lam-Research-KLA-.html,0.21428571428571427
61,Caprock Group LLC Trims Stake in Intel Co. (NASDAQ:INTC),"Caprock Group LLC cut its holdings in shares of Intel Co. (NASDAQ:INTC – Free Report) by 29.2% in the third quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The firm owned 48,771 shares of the chip maker…",ETF Daily News,https://www.etfdailynews.com/2024/11/22/caprock-group-llc-trims-stake-in-intel-co-nasdaqintc/,0.13999999999999999
62,Intel (NASDAQ:INTC) Stock Price Up 0.3% – Here’s What Happened,"Intel Co. (NASDAQ:INTC – Get Free Report) rose 0.3% during trading on Friday . The company traded as high as $26.40 and last traded at $26.32. Approximately 25,460,857 shares traded hands during mid-day trading, a decline of 57% from the average daily volume …",ETF Daily News,https://www.etfdailynews.com/2024/11/10/intel-nasdaqintc-stock-price-up-0-3-heres-what-happened/,0.08714285714285712
63,"Avidian Wealth Enterprises LLC Sells 7,950 Shares of Intel Co. (NASDAQ:INTC)","Avidian Wealth Enterprises LLC lessened its position in shares of Intel Co. (NASDAQ:INTC – Free Report) by 42.2% in the third quarter, according to its most recent disclosure with the Securities & Exchange Commission. The fund owned 10,876 shares of the chip …",ETF Daily News,https://www.etfdailynews.com/2024/11/08/avidian-wealth-enterprises-llc-sells-7950-shares-of-intel-co-nasdaqintc/,0.225
64,Robeco Institutional Asset Management B.V. Decreases Stock Position in Intel Co. (NASDAQ:INTC),"Robeco Institutional Asset Management B.V. trimmed its stake in shares of Intel Co. (NASDAQ:INTC – Free Report) by 44.1% in the 3rd quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The institutional investor …",ETF Daily News,https://www.etfdailynews.com/2024/11/07/robeco-institutional-asset-management-b-v-decreases-stock-position-in-intel-co-nasdaqintc/,0.16
65,"Nations Financial Group Inc. IA ADV Has $621,000 Holdings in Intel Co. (NASDAQ:INTC)","Nations Financial Group Inc. IA ADV grew its position in Intel Co. (NASDAQ:INTC – Free Report) by 3.7% during the 3rd quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 26,488 shares of the chip m…",ETF Daily News,https://www.etfdailynews.com/2024/11/14/nations-financial-group-inc-ia-adv-has-621000-holdings-in-intel-co-nasdaqintc/,0.18
66,Innovative comms strategies for emerging technologies,"Exploring the future of comm tech. Technological advancements are taking place at breakneck speeds. And it’s only going to get faster as it become more streamlined and instantaneous. According to McKinsey & Company, recent advances in AI have already increase…",Ragan.com,https://www.ragan.com/laura-stadler-comm-tech-strategies/,0.125
67,"Neuromorphic Chip Market Size is Projected to Reach USD 2,175.47 million by 2032, Growing at a CAGR of 47.6%: Straits Research","The global neuromorphic chip market size was valued at USD 65.43 million in 2023. It is expected to reach USD 2,175.47 million in 2032, growing at a CAGR of 47.6% over the forecast period (2024-32). The global neuromorphic chip market size was valued at USD 6…",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/18/2982983/0/en/Neuromorphic-Chip-Market-Size-is-Projected-to-Reach-USD-2-175-47-million-by-2032-Growing-at-a-CAGR-of-47-6-Straits-Research.html,-0.03333333333333333
68,Operant AI launches 3D Runtime Defense Suite for enhanced AI application security,"Runtime application protection platform startup Operant AI Inc. today announced the launch of 3D Runtime Defense Suite, a suite that brings together discovery, detection and defense capabilities in real time to protect every layer of live cloud applications. …",SiliconANGLE News,https://siliconangle.com/2024/11/12/operant-ai-launches-3d-runtime-defense-suite-enhanced-ai-application-security/,0.16818181818181818
69,Mozilla’s open internet advocacy efforts falter as it lays off 30% of its staff,"The Mozilla Foundation, the nonprofit group that develops the popular Firefox web browser, has said it’s laying off around 30% of staff, completely shutting down its advocacy programs in the process. In a statement sent to TechCrunch and The Verge, Mozilla’s …",SiliconANGLE News,https://siliconangle.com/2024/11/05/mozillas-open-internet-advocacy-efforts-falter-lays-off-30-staff/,0.18148148148148147
70,"Vietnam Data Center Storage Market Trends, Forecasts and Opportunities, 2019-2023 & 2024-2029, Profiles of HPE, IBM, Microsoft, Intel, Oracle, Cisco, SAP, and Toshiba","Dublin, Nov. 21, 2024 (GLOBE NEWSWIRE) -- The ""Vietnam Data Center Storage Market by Region, Competition, Forecast and Opportunities, 2019-2029F"" report has been added to ResearchAndMarkets.com's offering.The Vietnam Data Center Storage Market was valued at U…",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985446/28124/en/Vietnam-Data-Center-Storage-Market-Trends-Forecasts-and-Opportunities-2019-2023-2024-2029-Profiles-of-HPE-IBM-Microsoft-Intel-Oracle-Cisco-SAP-and-Toshiba.html,-0.1
71,Nanoscale transistors could enable more efficient electronics,"Nanoscale 3D transistors made from ultrathin semiconductor materials can operate more efficiently than silicon-based devices, leveraging quantum mechanical properties to potentially enable ultra-low-power AI applications.",Science Daily,https://www.sciencedaily.com/releases/2024/11/241104112321.htm,0.25
72,Intel Corporation Device a780 (rev 04) - Onboard Video,"Trying to get proper video card drivers installed on Ubuntu 20.04 (5.15 Kernel) for onboard Intel a780.
lspci -v | grep -A 10 VGA
VGA compatible controller: Intel Corporation Device a780 (rev 04) (prog-if 00 [VGA controller])
Subsystem: Dell Device 0ac7
Flags…",Askubuntu.com,https://askubuntu.com/questions/1534482/intel-corporation-device-a780-rev-04-onboard-video,0.0
73,"Analysis of Hologram Markets Worldwide, 2024-2033 - UK Department for Business and Trade Forecasts a 78.3% Increase in Spending on AR by 2030","Dublin, Nov. 18, 2024 (GLOBE NEWSWIRE) -- The ""Hologram Market 2024"" report has been added to ResearchAndMarkets.com's offering.The hologram market size has grown strongly in recent years. It will grow from $41.53 billion in 2023 to $44.3 billion in 2024 at a…",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/18/2982637/28124/en/Analysis-of-Hologram-Markets-Worldwide-2024-2033-UK-Department-for-Business-and-Trade-Forecasts-a-78-3-Increase-in-Spending-on-AR-by-2030.html,0.0
74,"AI Quality Inspection Market Report 2024 - Forecasts to 2029, Profiles of Intel, Kitov Systems, Mitutoyo America, Landing AI, NEC, tunic, Robert Bosch, deevio, craftworks, Pleora Technologies","Dublin, Nov. 18, 2024 (GLOBE NEWSWIRE) -- The ""AI Quality Inspection Market - Forecasts from 2024 to 2029"" report has been added to ResearchAndMarkets.com's offering.The AI quality inspection market is expected to grow at a CAGR of 20.53%, reaching a market s…",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/18/2982503/28124/en/AI-Quality-Inspection-Market-Report-2024-Forecasts-to-2029-Profiles-of-Intel-Kitov-Systems-Mitutoyo-America-Landing-AI-NEC-tunic-Robert-Bosch-deevio-craftworks-Pleora-Technologies.html,-0.1
75,Amazon gets FAA approval for new delivery drone,"Plus: Vodafone-Three deal, AMD datacenter win, Salt Typhoon dive in the latest edition of Fortune's flagship tech newsletter.",Fortune,https://fortune.com/2024/11/06/amazon-gets-faa-approval-for-new-delivery-drone-mozilla-layoffs-interpol-cybercrime/,0.65
